                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                  1.558,                 1.9857,                 1.8779,                0.17293,                0.19469,                0.10928,                  0.041,                 2.2753,                  2.998,                 2.5528,              0.0099683,              0.0099683,              0.0099683
                     35,                 1.5327,                 1.9628,                 1.8812,                0.17789,                0.17699,                0.10709,                0.03858,                 2.1238,                 3.1259,                 2.5049,              0.0099673,              0.0099673,              0.0099673
                     36,                 1.5065,                 1.9004,                 1.8458,                0.30117,                0.30088,                0.20874,                0.08894,                 1.9966,                  2.825,                 2.3642,              0.0099663,              0.0099663,              0.0099663
                     37,                  1.501,                 1.9102,                 1.8501,                  0.247,                0.25221,                0.16659,                0.06661,                 2.1273,                 2.8988,                 2.5107,              0.0099654,              0.0099654,              0.0099654
                     38,                 1.5076,                 1.8847,                 1.8598,                 0.3291,                0.22566,                0.16319,                0.06327,                 2.1387,                 2.7612,                 2.4524,              0.0099644,              0.0099644,              0.0099644
                     39,                 1.5421,                  1.899,                 1.8688,                0.24273,                0.16372,                0.09077,                0.03964,                  2.138,                 3.2708,                 2.4066,              0.0099634,              0.0099634,              0.0099634
                     40,                 1.5093,                 1.8902,                 1.8193,                0.30734,                0.26106,                0.18372,                0.08119,                 2.0608,                 2.8842,                 2.4099,              0.0099624,              0.0099624,              0.0099624
                     41,                  1.496,                   1.87,                 1.8259,                0.24707,                0.26991,                0.15737,                0.06193,                 2.2048,                 2.9396,                 2.4778,              0.0099614,              0.0099614,              0.0099614
                     42,                 1.4791,                 1.8594,                  1.807,                0.22824,                0.20354,                0.12566,                0.05633,                 2.2163,                 3.1129,                 2.5407,              0.0099604,              0.0099604,              0.0099604
                     43,                 1.4731,                 1.8316,                 1.8308,                0.29165,                0.23894,                 0.1608,                 0.0648,                 2.0831,                 2.9286,                 2.4068,              0.0099594,              0.0099594,              0.0099594
                     44,                 1.4503,                  1.823,                 1.7939,                0.29438,                0.15487,                0.13595,                0.06242,                 2.2149,                  3.194,                 2.5076,              0.0099584,              0.0099584,              0.0099584
                     45,                 1.4571,                 1.8227,                 1.8001,                0.31245,                0.28761,                 0.2258,                0.08787,                  2.064,                 2.7244,                  2.372,              0.0099574,              0.0099574,              0.0099574
                     46,                   1.46,                 1.7723,                 1.7954,                0.29515,                0.31416,                0.22904,                 0.1015,                 2.0352,                 2.5963,                 2.3656,              0.0099564,              0.0099564,              0.0099564
                     47,                 1.4693,                 1.7879,                 1.8094,                0.22633,                0.23894,                 0.1519,                0.05202,                 2.1634,                 3.0523,                 2.4919,              0.0099555,              0.0099555,              0.0099555
                     48,                 1.4478,                 1.7854,                 1.7939,                0.29923,                 0.2513,                0.20178,                0.09194,                 2.1151,                 2.8213,                 2.3724,              0.0099545,              0.0099545,              0.0099545
                     49,                 1.4474,                 1.7665,                 1.8009,                0.24102,                0.27434,                0.15905,                 0.0683,                 2.0848,                 2.9159,                 2.3895,              0.0099535,              0.0099535,              0.0099535
                     50,                  1.427,                 1.7357,                 1.7926,                0.30727,                0.30973,                0.17287,                0.07286,                  2.164,                 2.7805,                 2.4659,              0.0099525,              0.0099525,              0.0099525
                     51,                 1.4636,                 1.7843,                 1.8175,                0.23432,                0.27434,                0.22121,                0.10474,                 2.1902,                 2.8762,                 2.4501,              0.0099515,              0.0099515,              0.0099515
                     52,                 1.4445,                 1.7154,                 1.7834,                0.32981,                0.26991,                0.21815,                0.09374,                 2.0099,                 2.7412,                 2.2753,              0.0099505,              0.0099505,              0.0099505
